03-25-47-57-66 13

DATE	WINNING NUMBERS	POWERBALL
03/01/2018  12-30-59-65-69  16  wed
02/24/2018	24-25-38-62-63	06	sat
02/21/2018	07-15-31-34-36	08	wed
02/17/2018	13-26-39-44-62	02	sat
02/14/2018	37-39-44-46-69	26	wed 
02/10/2018	01-13-27-41-59	20	sat
02/07/2018	23-34-35-40-47	10	wed
02/03/2018	15-23-27-48-53	06	sat	
01/31/2018	04-07-14-46-59	22	wed
01/27/2018	17-21-26-47-54	07	sat
01/24/2018	05-09-11-33-64	21	wed
01/20/2018	26-28-47-49-58	03	sat
01/17/2018	03-33-37-51-57	21	wed
01/13/2018	14-25-35-58-69	24	sat
01/10/2018	07-24-33-49-50	04	wed
01/06/2018	12-29-30-33-61	26	sat
01/03/2018	02-18-37-39-42	12	wed
